pincode,Division Name,Affiliate,Pin.Code,State,District,Previously Mapped Territory Code,Final Mapped Territory,channel_sales
192121,GI PRIMA,AIL,192121,Jammu & Kashmir,Ananthnag,PT004521,PT004521,
713406,GI PRIMA,AIL,713406,West Bengal,Bardhaman,PT004468,PT004468,1573.64
518599,GI PRIMA,AIL,518599,Andhra Pradesh,Kurnool,IT017375,IT017375,6127.371
516001,GI PRIMA,AIL,516001,Andhra Pradesh,Cuddapah,IT017378,IT017378,31427.382
755008,GI PRIMA,AIL,755008,Odisha,Jajapur,PT004474,PT004474,1380.019802
574228,GI PRIMA,AIL,574228,Karnataka,Dakshina Kannada,IT017391,IT017391,
495678,GI PRIMA,AIL,495678,Chattisgarh,Korba,IT021229,IT021229,
380022,GI PRIMA,AIL,380022,Gujarat,Ahmedabad,PT004462,PT004462,5625
243633,GI PRIMA,AIL,243633,Uttar Pradesh,Budaun,IT017189,IT017189,
382030,GI PRIMA,AIL,382030,Gujarat,Gandhi Nagar,PT004462,PT004462,
273408,GI PRIMA,AIL,273408,Uttar Pradesh,Gorakhpur,PT004480,PT004480,
736182,GI PRIMA,AIL,736182,West Bengal,Jalpaiguri,PT004519,PT004519,1455.1605
251203,GI PRIMA,AIL,251203,Uttar Pradesh,Muzaffarnagar,IT017140,IT017140,463.1
230132,GI PRIMA,AIL,230132,Uttar Pradesh,Pratapgarh,PT004463,PT004463,
192302,GI PRIMA,AIL,192302,Jammu & Kashmir,Pulwama,PT004521,PT004521,
470124,GI PRIMA,AIL,470124,Madhya Pradesh,Sagar,IT017281,IT017281,201.35
841237,GI PRIMA,AIL,841237,Bihar,Siwan,IT017196,IT017196,
843110,GI PRIMA,AIL,843110,Bihar,Vaishali,PT004511,PT004511,
822124,GI PRIMA,AIL,822124,Jharkhand,Garhwa,PT004517,PT004517,
534235,GI PRIMA,AIL,534235,Andhra Pradesh,West Godavari,IT017371,IT017371,9427.91
629171,GI PRIMA,AIL,629171,Tamil Nadu,Kanyakumari,IT017429,IT017429,24443.5595
852214,GI PRIMA,AIL,852214,Bihar,Supaul,PT005170,PT005170,
390004,GI PRIMA,AIL,390004,Gujarat,Vadodara,PT004465,PT004465,9329.24
605102,GI PRIMA,AIL,605102,Pondicherry,Pondicherry,IT017416,IT017416,53588.25
844113,GI PRIMA,AIL,844113,Bihar,Vaishali,PT004511,PT004511,
414110,GI PRIMA,AIL,414110,Maharashtra,Ahmed Nagar,IT017241,IT017241,
829107,GI PRIMA,AIL,829107,Jharkhand,Bokaro,IT017320,IT017320,
505452,GI PRIMA,AIL,505452,Telangana,Karim Nagar,IT017360,IT017360,650.4493333
680731,GI PRIMA,AIL,680731,Kerala,Thrissur,PT004526,PT004526,
243724,GI PRIMA,AIL,243724,Uttar Pradesh,Budaun,IT017189,IT017189,
480106,GI PRIMA,AIL,480106,Madhya Pradesh,Chhindwara,PT004488,PT004488,
533446,GI PRIMA,AIL,533446,Andhra Pradesh,East Godavari,IT017374,IT017374,0
456222,GI PRIMA,AIL,456222,Madhya Pradesh,Ujjain,IT017277,IT017277,
380016,GI PRIMA,AIL,380016,Gujarat,Ahmedabad,PT004462,PT004462,8762.91
587125,GI PRIMA,AIL,587125,Karnataka,Bagalkot,IT017392,IT017392,12939.77901
425203,GI PRIMA,AIL,425203,Maharashtra,Jalgaon,IT017235,IT017235,
181124,GI PRIMA,AIL,181124,Jammu & Kashmir,Jammu,PT004490,PT004490,2168.34
281401,GI PRIMA,AIL,281401,Uttar Pradesh,Mathura,PT004461,PT004461,
172105,GI PRIMA,AIL,172105,Himachal Pradesh,Kinnaur,PT004470,PT004470,
262305,GI PRIMA,AIL,262305,Uttar Pradesh,Pilibhit,IT017189,IT017189,
688002,GI PRIMA,AIL,688002,Kerala,Alappuzha,IT017411,IT017411,
221716,GI PRIMA,AIL,221716,Uttar Pradesh,Ballia,PT004528,PT004528,1749.16
176103,GI PRIMA,AIL,176103,Himachal Pradesh,Kangra,IT017155,IT017155,
686605,GI PRIMA,AIL,686605,Kerala,Kottayam,IT017407,IT017407,842.85
535004,GI PRIMA,AIL,535004,Andhra Pradesh,Vizianagaram,IT017370,IT017370,
177101,GI PRIMA,AIL,177101,Himachal Pradesh,Kangra,IT017155,IT017155,
176210,GI PRIMA,AIL,176210,Himachal Pradesh,Kangra,IT017155,IT017155,
534411,GI PRIMA,AIL,534411,Andhra Pradesh,West Godavari,IT017371,IT017371,
225416,GI PRIMA,AIL,225416,Uttar Pradesh,Barabanki,PT004499,PT004499,
212653,GI PRIMA,AIL,212653,Uttar Pradesh,Fatehpur,PT004494,PT004494,
743271,GI PRIMA,AIL,743271,West Bengal,North 24 Parganas,PT006181,PT006181,7978
425419,GI PRIMA,AIL,425419,Maharashtra,Nandurbar,IT017235,IT017235,
843324,GI PRIMA,AIL,843324,Bihar,Sitamarhi,PT005784,PT005784,361.39
769016,GI PRIMA,AIL,769016,Odisha,Sundergarh,IT017324,IT017324,
632515,GI PRIMA,AIL,632515,Tamil Nadu,Vellore,IT023621,IT023621,5186.299802
221701,GI PRIMA,AIL,221701,Uttar Pradesh,Ballia,PT004528,PT004528,
443204,GI PRIMA,AIL,443204,Maharashtra,Buldhana,IT017237,IT017237,
533289,GI PRIMA,AIL,533289,Andhra Pradesh,East Godavari,IT017374,IT017374,2388.77
689672,GI PRIMA,AIL,689672,Kerala,Pathanamthitta,PT005780,PT005780,
841305,GI PRIMA,AIL,841305,Bihar,Saran,IT017196,IT017196,
271855,GI PRIMA,AIL,271855,Uttar Pradesh,Bahraich,PT004499,PT004499,
515133,GI PRIMA,AIL,515133,Andhra Pradesh,Ananthapur,IT017375,IT017375,2513.4
250619,GI PRIMA,AIL,250619,Uttar Pradesh,Bagpat,PT004504,PT004504,
462019,GI PRIMA,AIL,462019,Madhya Pradesh,Bhopal,PT004466,PT004466,
608001,GI PRIMA,AIL,608001,Tamil Nadu,Cuddalore,IT017415,IT017415,31026.28
233231,GI PRIMA,AIL,233231,Uttar Pradesh,Ghazipur,PT004528,PT004528,
212216,GI PRIMA,AIL,212216,Uttar Pradesh,Kaushambi,PT004463,PT004463,
743312,GI PRIMA,AIL,743312,West Bengal,South 24 Parganas,PT006181,PT006181,29047.9408
518543,GI PRIMA,AIL,518543,Andhra Pradesh,Kurnool,IT017375,IT017375,4295.9605
274302,GI PRIMA,AIL,274302,Uttar Pradesh,Kushinagar,PT004480,PT004480,
488441,GI PRIMA,AIL,488441,Madhya Pradesh,Panna,PT004466,PT004466,
231213,GI PRIMA,AIL,231213,Uttar Pradesh,Sonbhadra,PT004528,PT004528,633.56
532292,GI PRIMA,AIL,532292,Andhra Pradesh,Srikakulam,IT017370,IT017370,
521325,GI PRIMA,AIL,521325,Andhra Pradesh,Krishna,PT004529,PT004529,
414106,GI PRIMA,AIL,414106,Maharashtra,Ahmed Nagar,IT017241,IT017241,
271871,GI PRIMA,AIL,271871,Uttar Pradesh,Bahraich,PT004499,PT004499,
385566,GI PRIMA,AIL,385566,Gujarat,Banaskantha,PT004462,PT004462,
232103,GI PRIMA,AIL,232103,Uttar Pradesh,Varanasi,PT004528,PT004528,690.009901
335002,GI PRIMA,AIL,335002,Rajasthan,Ganganagar,IT017169,IT017169,
761027,GI PRIMA,AIL,761027,Odisha,Ganjam,PT004467,PT004467,
761029,GI PRIMA,AIL,761029,Odisha,Ganjam,PT004467,PT004467,
403527,GI PRIMA,AIL,403527,Goa,North Goa,IT017248,IT017248,
793200,GI PRIMA,AIL,793200,Meghalaya,Jaintia Hills,PT004483,PT004483,
416204,GI PRIMA,AIL,416204,Maharashtra,Kolhapur,PT005777,PT005777,
792105,GI PRIMA,AIL,792105,Arunachal Pradesh,Lohit,IT023003,IT023003,
721463,GI PRIMA,AIL,721463,West Bengal,East Midnapore,PT004531,PT004531,
152112,GI PRIMA,AIL,152112,Punjab,Muktsar,PT005670,PT005670,
341023,GI PRIMA,AIL,341023,Rajasthan,Nagaur,PT005779,PT005779,
487225,GI PRIMA,AIL,487225,Madhya Pradesh,Narsinghpur,PT004488,PT004488,
422403,GI PRIMA,AIL,422403,Maharashtra,Nashik,PT004509,PT004509,
465550,GI PRIMA,AIL,465550,Madhya Pradesh,Shajapur,IT017277,IT017277,
177201,GI PRIMA,AIL,177201,Himachal Pradesh,Una,IT017155,IT017155,
854333,GI PRIMA,AIL,854333,Bihar,Araria,PT005170,PT005170,2760.039604
243726,GI PRIMA,AIL,243726,Uttar Pradesh,Budaun,PT005782,PT005782,
788815,GI PRIMA,AIL,788815,Assam,Cachar,PT004518,PT004518,1330.47
638104,GI PRIMA,AIL,638104,Tamil Nadu,Erode,IT017424,IT017424,
201019,GI PRIMA,AIL,201019,Uttar Pradesh,Ghaziabad,PT004478,PT004478,52591.2221
403206,GI PRIMA,AIL,403206,Goa,North Goa,IT017248,IT017248,44681.3145
533126,GI PRIMA,AIL,533126,Andhra Pradesh,East Godavari,IT017374,IT017374,
474004,GI PRIMA,AIL,474004,Madhya Pradesh,Gwalior,PT005635,PT005635,
180007,GI PRIMA,AIL,180007,Jammu & Kashmir,Jammu,PT004490,PT004490,633.56
609605,GI PRIMA,AIL,609605,Pondicherry,Karaikal,IT017416,IT017416,11526.931
712234,GI PRIMA,AIL,712234,West Bengal,Hooghly,PT004484,PT004484,7944.6
325201,GI PRIMA,AIL,325201,Rajasthan,Kota,IT017142,IT017142,
787031,GI PRIMA,AIL,787031,Assam,Lakhimpur,IT023003,IT023003,
843103,GI PRIMA,AIL,843103,Bihar,Muzaffarpur,PT005093,PT005093,
782141,GI PRIMA,AIL,782141,Assam,Nagaon,PT005786,PT005786,2584.87
503206,GI PRIMA,AIL,503206,Telangana,Nizamabad,IT017362,IT017362,
770031,GI PRIMA,AIL,770031,Odisha,Sundergarh,IT017324,IT017324,
854340,GI PRIMA,AIL,854340,Bihar,Supaul,PT005170,PT005170,
680689,GI PRIMA,AIL,680689,Kerala,Thrissur,PT004526,PT004526,
620024,GI PRIMA,AIL,620024,Tamil Nadu,Tiruchirappalli,IT017430,IT017430,
799201,GI PRIMA,AIL,799201,Tripura,West Tripura,PT004460,PT004460,
277202,GI PRIMA,AIL,277202,Uttar Pradesh,Ballia,PT004480,PT004480,
713324,GI PRIMA,AIL,713324,West Bengal,Bardhaman,IT017350,IT017350,31871.7
641019,GI PRIMA,AIL,641019,Tamil Nadu,Coimbatore,PT004473,PT004473,5046.6105
144202,GI PRIMA,AIL,144202,Punjab,Hoshiarpur,PT005671,PT005671,
251201,GI PRIMA,AIL,251201,Uttar Pradesh,Muzaffarnagar,IT017140,IT017140,4952.74
221402,GI PRIMA,AIL,221402,Uttar Pradesh,Sant Ravidas Nagar,PT004528,PT004528,
364710,GI PRIMA,AIL,364710,Gujarat,Bhavnagar,PT004462,PT004462,
517235,GI PRIMA,AIL,517235,Andhra Pradesh,Chittoor,IT017378,IT017378,
736204,GI PRIMA,AIL,736204,West Bengal,Jalpaiguri,PT004519,PT004519,
609603,GI PRIMA,AIL,609603,Pondicherry,Karaikal,IT017416,IT017416,
492099,GI PRIMA,AIL,492099,Chattisgarh,Raipur,IT017269,IT017269,
535558,GI PRIMA,AIL,535558,Andhra Pradesh,Vizianagaram,IT017370,IT017370,14297.592
276137,GI PRIMA,AIL,276137,Uttar Pradesh,Azamgarh,IT017181,IT017181,
206250,GI PRIMA,AIL,206250,Uttar Pradesh,Auraiya,IT023045,IT023045,
505215,GI PRIMA,AIL,505215,Telangana,Karim Nagar,IT017360,IT017360,10634.074
380061,GI PRIMA,AIL,380061,Gujarat,Ahmedabad,PT004462,PT004462,48727.845
508004,GI PRIMA,AIL,508004,Telangana,Nalgonda,IT017368,IT017368,1664.34
303904,GI PRIMA,AIL,303904,Rajasthan,Jaipur,PT004489,PT004489,
721423,GI PRIMA,AIL,721423,West Bengal,East Midnapore,PT004531,PT004531,5288.28
274404,GI PRIMA,AIL,274404,Uttar Pradesh,Deoria,PT004480,PT004480,
796082,GI PRIMA,AIL,796082,Mizoram,Kolasib,PT004518,PT004518,
509002,GI PRIMA,AIL,509002,Telangana,Mahabub Nagar,PT004486,PT004486,
686511,GI PRIMA,AIL,686511,Kerala,Pathanamthitta,PT005780,PT005780,
680669,GI PRIMA,AIL,680669,Kerala,Thrissur,PT004526,PT004526,3316.5315
136128,GI PRIMA,AIL,136128,Haryana,Kurukshetra,IT017150,IT017150,
814155,GI PRIMA,AIL,814155,Jharkhand,Godda,PT005675,PT005675,
797121,GI PRIMA,AIL,797121,Nagaland,Kohima,IT017342,IT017342,
389350,GI PRIMA,AIL,389350,Gujarat,Panch Mahals,PT004465,PT004465,
752108,GI PRIMA,AIL,752108,Odisha,Puri,PT004467,PT004467,
791001,GI PRIMA,AIL,791001,Arunachal Pradesh,West Siang,PT004477,PT004477,
283111,GI PRIMA,AIL,283111,Uttar Pradesh,Agra,PT004461,PT004461,
534460,GI PRIMA,AIL,534460,Andhra Pradesh,West Godavari,IT017371,IT017371,1261.7605
524121,GI PRIMA,AIL,524121,Andhra Pradesh,Nellore,PT004481,PT004481,68494.94
813105,GI PRIMA,AIL,813105,Bihar,Bhagalpur,PT005675,PT005675,
382321,GI PRIMA,AIL,382321,Gujarat,Gandhi Nagar,PT004462,PT004462,
824233,GI PRIMA,AIL,824233,Bihar,Gaya,IT017197,IT017197,
144403,GI PRIMA,AIL,144403,Punjab,Jalandhar,PT005671,PT005671,
322001,GI PRIMA,AIL,322001,Rajasthan,Sawai Madhopur,PT004489,PT004489,18.59333333
305817,GI PRIMA,AIL,305817,Rajasthan,Ajmer,IT017170,IT017170,
327602,GI PRIMA,AIL,327602,Rajasthan,Banswara,IT017168,IT017168,
416219,GI PRIMA,AIL,416219,Maharashtra,Kolhapur,PT005777,PT005777,
415305,GI PRIMA,AIL,415305,Maharashtra,Sangli,IT017245,IT017245,
242127,GI PRIMA,AIL,242127,Uttar Pradesh,Shahjahanpur,PT004499,PT004499,2597.59
831016,GI PRIMA,AIL,831016,Jharkhand,East Singhbhum,IT017316,IT017316,
224205,GI PRIMA,AIL,224205,Uttar Pradesh,Ambedkar Nagar,PT004499,PT004499,
176052,GI PRIMA,AIL,176052,Himachal Pradesh,Kangra,IT017155,IT017155,
250103,GI PRIMA,AIL,250103,Uttar Pradesh,Meerut,PT004504,PT004504,11514.36
504303,GI PRIMA,AIL,504303,Telangana,Adilabad,IT017362,IT017362,
509219,GI PRIMA,AIL,509219,Telangana,Mahabub Nagar,PT004486,PT004486,
383421,GI PRIMA,AIL,383421,Gujarat,Sabarkantha,PT004462,PT004462,
761105,GI PRIMA,AIL,761105,Odisha,Ganjam,PT004467,PT004467,7417.62
735121,GI PRIMA,AIL,735121,West Bengal,Jalpaiguri,PT004519,PT004519,224.41
140108,GI PRIMA,AIL,140108,Punjab,Rupnagar,PT004470,PT004470,
415301,GI PRIMA,AIL,415301,Maharashtra,Sangli,IT017245,IT017245,
148021,GI PRIMA,AIL,148021,Punjab,Sangrur,PT004510,PT004510,
401606,GI PRIMA,AIL,401606,Maharashtra,Thane,PT004505,PT004505,
176110,GI PRIMA,AIL,176110,Himachal Pradesh,Hamirpur(Hp),IT017155,IT017155,2140.494257
686012,GI PRIMA,AIL,686012,Kerala,Kottayam,IT017407,IT017407,
531021,GI PRIMA,AIL,531021,Andhra Pradesh,Visakhapatnam,IT017370,IT017370,10446.5905
670503,GI PRIMA,AIL,670503,Kerala,Kannur,IT017398,IT017398,
507133,GI PRIMA,AIL,507133,Telangana,Khammam,IT017368,IT017368,
141102,GI PRIMA,AIL,141102,Punjab,Ludhiana,PT004500,PT004500,
742302,GI PRIMA,AIL,742302,West Bengal,Murshidabad,PT005172,PT005172,4643.29
583212,GI PRIMA,AIL,583212,Karnataka,Bellary,IT017393,IT017393,4806.8895
641114,GI PRIMA,AIL,641114,Tamil Nadu,Coimbatore,PT004473,PT004473,5423.42
122503,GI PRIMA,AIL,122503,Haryana,Gurgaon,PT004482,PT004482,786.82
854317,GI PRIMA,AIL,854317,Bihar,Katihar,PT005170,PT005170,
758082,GI PRIMA,AIL,758082,Odisha,Kendujhar,PT004474,PT004474,
497335,GI PRIMA,AIL,497335,Chattisgarh,Koriya,IT017270,IT017270,
575006,GI PRIMA,AIL,575006,Karnataka,Dakshina Kannada,IT017391,IT017391,42238.302
781349,GI PRIMA,AIL,781349,Assam,Nalbari,PT005095,PT005095,
306303,GI PRIMA,AIL,306303,Rajasthan,Pali,PT005779,PT005779,
496440,GI PRIMA,AIL,496440,Chattisgarh,Raigarh,IT021229,IT021229,
768019,GI PRIMA,AIL,768019,Odisha,Sambalpur,IT017324,IT017324,
485221,GI PRIMA,AIL,485221,Madhya Pradesh,Satna,IT017283,IT017283,
793003,GI PRIMA,AIL,793003,Meghalaya,East Khasi Hills,PT004483,PT004483,633.56
695038,GI PRIMA,AIL,695038,Kerala,Thiruvananthapuram,PT004527,PT004527,
276131,GI PRIMA,AIL,276131,Uttar Pradesh,Azamgarh,IT017181,IT017181,
590015,GI PRIMA,AIL,590015,Karnataka,Belgaum,IT017394,IT017394,774.35
683518,GI PRIMA,AIL,683518,Kerala,Ernakulam,PT004472,PT004472,
210502,GI PRIMA,AIL,210502,Uttar Pradesh,Hamirpur,PT004494,PT004494,926.2
676109,GI PRIMA,AIL,676109,Kerala,Malappuram,PT006066,PT006066,
227808,GI PRIMA,AIL,227808,Uttar Pradesh,Sultanpur,PT004499,PT004499,
572216,GI PRIMA,AIL,572216,Karnataka,Tumkur,PT004464,PT004464,703.95
673309,GI PRIMA,AIL,673309,Kerala,Kozhikode,PT004469,PT004469,
504313,GI PRIMA,AIL,504313,Telangana,Adilabad,IT017362,IT017362,
273158,GI PRIMA,AIL,273158,Uttar Pradesh,Gorakhpur,PT004480,PT004480,
712306,GI PRIMA,AIL,712306,West Bengal,Hooghly,PT004484,PT004484,34061.732
333029,GI PRIMA,AIL,333029,Rajasthan,Jhujhunu,IT017149,IT017149,
742166,GI PRIMA,AIL,742166,West Bengal,Murshidabad,PT005172,PT005172,2783.22
247777,GI PRIMA,AIL,247777,Uttar Pradesh,Muzaffarnagar,IT017140,IT017140,
781340,GI PRIMA,AIL,781340,Assam,Nalbari,PT004483,PT004483,
689122,GI PRIMA,AIL,689122,Kerala,Alappuzha,IT017411,IT017411,
766015,GI PRIMA,AIL,766015,Odisha,Kalahandi,PT004474,PT004474,4561.62
689642,GI PRIMA,AIL,689642,Kerala,Pathanamthitta,PT005780,PT005780,
801113,GI PRIMA,AIL,801113,Bihar,Patna,PT004511,PT004511,
723212,GI PRIMA,AIL,723212,West Bengal,Puruliya,IT017314,IT017314,
843326,GI PRIMA,AIL,843326,Bihar,Sitamarhi,PT005784,PT005784,557.8
261204,GI PRIMA,AIL,261204,Uttar Pradesh,Sitapur,PT004499,PT004499,
504215,GI PRIMA,AIL,504215,Telangana,Adilabad,IT017362,IT017362,2652.321
799010,GI PRIMA,AIL,799010,Tripura,West Tripura,PT004460,PT004460,696.91
224186,GI PRIMA,AIL,224186,Uttar Pradesh,Ambedkar Nagar,PT004499,PT004499,
756115,GI PRIMA,AIL,756115,Odisha,Bhadrak,IT017327,IT017327,
825403,GI PRIMA,AIL,825403,Jharkhand,Chatra,IT017319,IT017319,3357.85
522615,GI PRIMA,AIL,522615,Andhra Pradesh,Guntur,PT004481,PT004481,
581106,GI PRIMA,AIL,581106,Karnataka,Haveri,IT017392,IT017392,0
796081,GI PRIMA,AIL,796081,Mizoram,Kolasib,PT004518,PT004518,
518401,GI PRIMA,AIL,518401,Andhra Pradesh,Kurnool,IT017375,IT017375,18457.609
721454,GI PRIMA,AIL,721454,West Bengal,East Midnapore,PT004531,PT004531,
803115,GI PRIMA,AIL,803115,Bihar,Nalanda,PT004511,PT004511,
689691,GI PRIMA,AIL,689691,Kerala,Pathanamthitta,PT005780,PT005780,0
493221,GI PRIMA,AIL,493221,Chattisgarh,Raipur,IT017269,IT017269,2310.15
140112,GI PRIMA,AIL,140112,Punjab,Mohali,PT004470,PT004470,
811103,GI PRIMA,AIL,811103,Bihar,Sheikhpura,PT004511,PT004511,
767045,GI PRIMA,AIL,767045,Odisha,Sonapur,IT017324,IT017324,
784110,GI PRIMA,AIL,784110,Assam,Sonitpur,IT017349,IT017349,3216.97
627119,GI PRIMA,AIL,627119,Tamil Nadu,Tirunelveli,IT021813,IT021813,
535527,GI PRIMA,AIL,535527,Andhra Pradesh,Vizianagaram,IT017370,IT017370,
767032,GI PRIMA,AIL,767032,Odisha,Balangir,IT017324,IT017324,
742133,GI PRIMA,AIL,742133,West Bengal,Murshidabad,PT005172,PT005172,7082.813333
803113,GI PRIMA,AIL,803113,Bihar,Nalanda,PT004511,PT004511,
695040,GI PRIMA,AIL,695040,Kerala,Thiruvananthapuram,PT004527,PT004527,
600055,GI PRIMA,AIL,600055,Tamil Nadu,Tiruvallur,PT004471,PT004471,24225.8005
305624,GI PRIMA,AIL,305624,Rajasthan,Ajmer,IT017170,IT017170,
431006,GI PRIMA,AIL,431006,Maharashtra,Aurangabad,IT017238,IT017238,
